"ElementId","Mark","Category","Family","Type","HostWallId","Lining YN before","Lining YN after","Material before","Material after","Top YN before","Top YN after","Left YN before","Left YN after","Right YN before","Right YN after","Lining Change before (mm)","Lining Change after (mm)","Predicted total (mm)","Predicted schedule qty (Lbm)","Actual total (mm)","Changed","Detail"
"28366667","620","Doors","Exterior Door V21","W 1010 H 2100","28362692","No","No","DDL","DDL","1","1","1","1","1","1","0.0","0.0","5138.0","5.14","","no","Lining YN is off -- excluded from the lining schedule"
"28386882","623","Doors","Exterior Double Door V16","W 1810 H 2100","28377592","Yes","Yes","DDL","DDL","1","1","1","0","1","0","0.0","0.0","1786.0","1.79","1786.0","YES","Left blocked 2076 mm by 28387099 [1875] (gap 7 mm) | Right blocked 2076 mm by 28388428 [1876] (gap 7 mm)"
"28397345","633","Doors","Exterior Double Door V16","W 1810 H 2100","28382197","No","No","DDL","DDL","1","1","0","0","0","0","0.0","0.0","1786.0","1.79","","no","Left blocked 2076 mm by 28410966 [1884] (gap 41 mm) | Right blocked 2076 mm by 28410702 [1883] (gap 41 mm) | Lining YN is off -- excluded from the lining schedule"
"28411751","643","Doors","Exterior Double Door V16","W 1810 H 2100","28384120","No","No","DDL","DDL","1","1","0","0","0","0","0.0","0.0","1786.0","1.79","","no","Left blocked 2076 mm by 28412125 [1888] (gap 41 mm) | Right blocked 2076 mm by 28411881 [1887] (gap 41 mm) | Lining YN is off -- excluded from the lining schedule"
"28387099","1875","Windows","Exterior Window Mullion V7","W 400 x H 2100","28377592","Yes","Yes","WDL","WDL","1","1","1","1","1","0","0.0","0.0","2452.0","2.45","2452.0","YES","Right blocked 2076 mm by 28386882 [623] (gap 7 mm)"
"28388428","1876","Windows","Exterior Window Mullion V7","W 400 x H 2100","28377592","Yes","Yes","WDL","WDL","1","1","1","1","0","0","0.0","0.0","2452.0","2.45","","no","Right blocked 2076 mm by 28386882 [623] (gap 7 mm)"
"28388916","1877","Windows","Exterior Window Mullion V7","W 1000 x H 1100","28377592","No","No","WDL","WDL","1","1","1","1","1","1","0.0","0.0","3128.0","3.13","","no","Lining YN is off -- excluded from the lining schedule"
"28397441","1881","Windows","Exterior Window Mullion V7","W 1000 x H 1100","28382197","No","No","WDL","WDL","1","1","1","1","1","1","0.0","0.0","3128.0","3.13","","no","Lining YN is off -- excluded from the lining schedule"
"28410702","1883","Windows","Exterior Window Mullion V7","W 400 x H 2100","28382197","No","No","WDL","WDL","1","1","0","0","1","1","0.0","0.0","2452.0","2.45","","no","Left blocked 2076 mm by 28397345 [633] (gap 41 mm) | Lining YN is off -- excluded from the lining schedule"
"28410966","1884","Windows","Exterior Window Mullion V7","W 400 x H 2100","28382197","No","No","WDL","WDL","1","1","0","0","1","1","0.0","0.0","2452.0","2.45","","no","Left blocked 2076 mm by 28397345 [633] (gap 41 mm) | Lining YN is off -- excluded from the lining schedule"
"28411881","1887","Windows","Exterior Window Mullion V7","W 400 x H 2100","28384120","No","No","WDL","WDL","1","1","0","0","1","1","0.0","0.0","2452.0","2.45","","no","Left blocked 2076 mm by 28411751 [643] (gap 41 mm) | Lining YN is off -- excluded from the lining schedule"
